日期,做空,做多,主力空,主力多
3月17日,"['ZC', 'JD', 'BU', 'PP', 'RM', 'RU', 'L', 'P', 'TA']","['B', 'EF', 'MA', 'AF', 'IM', 'SR', 'RB', 'BB', 'ME']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'PP1505.DCE', 'RM505.CZC', 'RU1505.SHF', 'L1505.DCE', 'P1505.DCE', 'TA509.CZC']","['B1509.DCE', 'EF1503-S.CFE', 'MA509.CZC', 'AF1506-S.CFE', 'IM_S1504.SHF', 'SR505.CZC', 'RB1505.SHF', 'BB1511.DCE', 'ME504.CZC']"
3月18日,"['ZC', 'JD', 'BU', 'PP', 'RM', 'L', 'RU', 'TA', 'ME']","['CU', 'B', 'FG', 'BB', 'MA', 'AF', 'IM', 'SR', 'RB']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'PP1505.DCE', 'RM505.CZC', 'L1505.DCE', 'RU1505.SHF', 'TA509.CZC', 'ME504.CZC']","['CU1506.SHF', 'B1509.DCE', 'FG509.CZC', 'BB1511.DCE', 'MA509.CZC', 'AF1506-S.CFE', 'IM_S1504.SHF', 'SR505.CZC', 'RB1505.SHF']"
3月19日,"['ZC', 'JD', 'BU', 'PP', 'RM', 'L', 'RU', 'TA', 'J']","['TC', 'IM', 'BB', 'CF', 'SR', 'RB', 'FU', 'AF', 'ME']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'PP1505.DCE', 'RM505.CZC', 'L1505.DCE', 'RU1505.SHF', 'TA509.CZC', 'J1509.DCE']","['TC509.CZC', 'IM_S1504.SHF', 'BB1511.DCE', 'CF505.CZC', 'SR505.CZC', 'RB1505.SHF', 'FU1509.SHF', 'AF1506-S.CFE', 'ME504.CZC']"
3月20日,"['ZC', 'JD', 'BU', 'PP', 'L', 'FU', 'RM', 'WR']","['B', 'PB', 'IM', 'CF', 'SR', 'RB', 'LR', 'BB']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'PP1505.DCE', 'L1505.DCE', 'FU1509.SHF', 'RM505.CZC', 'WR1510.SHF']","['B1509.DCE', 'PB1506.SHF', 'IM_S1504.SHF', 'CF505.CZC', 'SR505.CZC', 'RB1505.SHF', 'LR511.CZC', 'BB1511.DCE']"
3月23日,"['ZC', 'BU', 'PP', 'L', 'RM', 'J', 'WR', 'FU', 'RU']","['FG', 'PB', 'AL', 'B', 'IM', 'BB', 'CF', 'RB', 'JD']","['TA505.CZC', 'BU1509.SHF', 'PP1505.DCE', 'L1505.DCE', 'RM505.CZC', 'J1509.DCE', 'WR1510.SHF', 'FU1509.SHF', 'RU1505.SHF']","['FG509.CZC', 'PB1506.SHF', 'AL1505.SHF', 'B1509.DCE', 'IM_S1504.SHF', 'BB1511.DCE', 'CF505.CZC', 'RB1505.SHF', 'JD1505.DCE']"
3月24日,"['ZC', 'IM', 'BU', 'PP', 'J', 'RM', 'FU', 'RU', 'L']","['MA', 'B', 'RI', 'PB', 'BB', 'RB', 'CF', 'RS', 'JD']","['TA505.CZC', 'IM_S1504.SHF', 'BU1509.SHF', 'PP1505.DCE', 'J1509.DCE', 'RM505.CZC', 'FU1509.SHF', 'RU1505.SHF', 'L1505.DCE']","['MA509.CZC', 'B1509.DCE', 'RI505.CZC', 'PB1506.SHF', 'BB1511.DCE', 'RB1505.SHF', 'CF505.CZC', 'RS509.CZC', 'JD1505.DCE']"
3月25日,"['ZC', 'JD', 'BU', 'IM', 'PP', 'RM', 'RU', 'L', 'WR']","['AF,ZN,FB,EF', 'AF,ZN,FB,EF', 'AF,ZN,FB,EF', 'B', 'FG', 'AL', 'BB', 'RB', 'CF']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'IM_S1504.SHF', 'PP1505.DCE', 'RM505.CZC', 'RU1505.SHF', 'L1505.DCE', 'WR1510.SHF']","['B1509.DCE', 'FG509.CZC', 'AL1505.SHF', 'BB1511.DCE', 'RB1505.SHF', 'CF505.CZC']"
3月26日,"['ZC', 'JD', 'PP', 'BU', 'IM', 'RM', 'RU', 'L', 'J']","['PB', 'FG,BB', 'FG,BB', 'V', 'I', 'EF', 'CF', 'RB', 'FU']","['TA505.CZC', 'JD1509.DCE', 'PP1505.DCE', 'BU1509.SHF', 'IM_S1506.SHF', 'RM505.CZC', 'RU1505.SHF', 'L1505.DCE', 'J1509.DCE']","['PB1506.SHF', 'V1505.DCE', 'I1505.DCE', 'EF1506-S.CFE', 'CF505.CZC', 'RB1505.SHF', 'FU1509.SHF']"
3月27日,"['ZC', 'JD', 'BU', 'PP', 'IM', 'RM', 'RU', 'TA', 'L']","['FG', 'PB', 'B', 'V', 'BB', 'J', 'I', 'RB', 'CF']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'PP1505.DCE', 'IM_S1506.SHF', 'RM505.CZC', 'RU1505.SHF', 'TA509.CZC', 'L1505.DCE']","['FG509.CZC', 'PB1506.SHF', 'B1509.DCE', 'V1505.DCE', 'BB1511.DCE', 'J1505.DCE', 'I1505.DCE', 'RB1505.SHF', 'CF505.CZC']"
3月30日,"['JD', 'BU', 'FU', 'PP', 'IM', 'RM', 'WR', 'RU', 'L']","['I', 'SN', 'RB', 'J', 'FB', 'CF', 'AF', 'FG', 'TA']","['JD1509.DCE', 'BU1509.SHF', 'FU1509.SHF', 'PP1505.DCE', 'IM_S1506.SHF', 'RM505.CZC', 'WR1510.SHF', 'RU1505.SHF', 'L1505.DCE']","['I1505.DCE', 'SN1508.SHF', 'RB1505.SHF', 'J1505.DCE', 'FB1509.DCE', 'CF505.CZC', 'AF1506-S.CFE', 'FG509.CZC', 'TA505.CZC']"
3月31日,"['FU', 'BU', 'PP', 'IM', 'RM', 'RU', 'L', 'JM', 'A']","['RB', 'FB', 'B', 'WR', 'CF', 'AF', 'SN', 'TA', 'JD']","['FU1509.SHF', 'BU1509.SHF', 'PP1505.DCE', 'IM_S1506.SHF', 'RM505.CZC', 'RU1505.SHF', 'L1505.DCE', 'JM1505.DCE', 'A1509.DCE']","['RB1505.SHF', 'FB1509.DCE', 'B1509.DCE', 'WR1511.SHF', 'CF505.CZC', 'AF1506-S.CFE', 'SN1508.SHF', 'TA505.CZC', 'JD1505.DCE']"
4月1日,"['BU', 'PP', 'IM', 'RM', 'L', 'FU', 'JM', 'RU', 'A']","['V', 'ZN', 'LR', 'B', 'WR', 'CF', 'AF', 'TA', 'JD']","['BU1509.SHF', 'PP1505.DCE', 'IM_S1506.SHF', 'RM505.CZC', 'L1505.DCE', 'FU1509.SHF', 'JM1505.DCE', 'RU1505.SHF', 'A1509.DCE']","['V1505.DCE', 'ZN1505.SHF', 'LR509.CZC', 'B1509.DCE', 'WR1511.SHF', 'CF505.CZC', 'AF1506-S.CFE', 'TA505.CZC', 'JD1505.DCE']"
4月2日,"['BU', 'PP', 'IM', 'L', 'JM', 'MA', 'P', 'RU', 'M']","['FG', 'J', 'SN', 'B', 'WR', 'TA', 'RS', 'JD', 'CF']","['BU1509.SHF', 'PP1505.DCE', 'IM_S1506.SHF', 'L1505.DCE', 'JM1505.DCE', 'MA509.CZC', 'P1505.DCE', 'RU1505.SHF', 'M1601.DCE']","['FG509.CZC', 'J1505.DCE', 'SN1508.SHF', 'B1509.DCE', 'WR1511.SHF', 'TA505.CZC', 'RS509.CZC', 'JD1505.DCE', 'EF1504-S.CFE']"
4月3日,"['PP', 'L', 'IM', 'BU', 'JM', 'MA', 'M', 'FU', 'RU']","['B', 'NI', 'SN', 'J', 'WR', 'CF', 'FG', 'TA', 'JD']","['PP1505.DCE', 'L1505.DCE', 'IM_S1506.SHF', 'BU1509.SHF', 'JM1505.DCE', 'MA509.CZC', 'M1601.DCE', 'FU1509.SHF', 'RU1505.SHF']","['B1509.DCE', 'NI1508.SHF', 'SN1508.SHF', 'J1505.DCE', 'WR1511.SHF', 'CF505.CZC', 'FG509.CZC', 'TA505.CZC', 'JD1505.DCE']"
4月7日,"['PP', 'L', 'IM', 'BU', 'FG', 'JM', 'M', 'MA', 'P']","['NI', 'SN', 'BB', 'J', 'WR', 'TA', 'RS', 'JD', 'CF']","['PP1505.DCE', 'L1505.DCE', 'IM_S1506.SHF', 'BU1509.SHF', 'FG506.CZC', 'JM1505.DCE', 'M1601.DCE', 'MA509.CZC', 'P1505.DCE']","['NI1508.SHF', 'SN1508.SHF', 'BB1511.DCE', 'J1505.DCE', 'WR1511.SHF', 'TA505.CZC', 'RS509.CZC', 'JD1505.DCE', 'EF1504-S.CFE']"
4月8日,"['PP', 'L', 'FG', 'IM', 'BU', 'JM', 'M', 'B', 'MA', 'P']","['HC', 'A', 'WR', 'PM', 'TA', 'RS', 'JD', 'ME', 'CF']","['PP1505.DCE', 'L1505.DCE', 'FG506.CZC', 'IM_S1506.SHF', 'BU1509.SHF', 'JM1505.DCE', 'M1601.DCE', 'B1505.DCE', 'MA509.CZC', 'P1505.DCE']","['HC1505.SHF', 'A1505.DCE', 'WR1511.SHF', 'PM505.CZC', 'TA505.CZC', 'RS509.CZC', 'JD1505.DCE', 'ME504.CZC', 'EF1504-S.CFE']"
4月9日,"['PP', 'L', 'IM', 'FG', 'JM', 'BU', 'BB', 'M', 'P']","['A', 'HC', 'NI', 'J', 'TA', 'WR', 'FU', 'JD', 'CF']","['PP1505.DCE', 'L1505.DCE', 'IM_S1506.SHF', 'FG506.CZC', 'JM1505.DCE', 'BU1509.SHF', 'BB1509.DCE', 'M1601.DCE', 'P1505.DCE']","['A1505.DCE', 'HC1505.SHF', 'NI1509.SHF', 'J1505.DCE', 'TA505.CZC', 'WR1505.SHF', 'FU1509.SHF', 'JD1505.DCE', 'EF1504-S.CFE']"
4月10日,"['PP', 'BB', 'L', 'FG', 'JM', 'BU', 'B', 'M', 'FU']","['NI', 'J', 'A', 'HC', 'RB', 'CS', 'TA', 'WR', 'JD']","['PP1505.DCE', 'BB1509.DCE', 'L1505.DCE', 'FG506.CZC', 'JM1505.DCE', 'BU1509.SHF', 'B1505.DCE', 'M1601.DCE', 'FU1509.SHF']","['NI1509.SHF', 'J1505.DCE', 'A1505.DCE', 'HC1505.SHF', 'RB1505.SHF', 'CS1505.DCE', 'TA505.CZC', 'WR1505.SHF', 'JD1505.DCE']"
4月13日,"['BB', 'PP', 'L', 'RS', 'JM', 'FG', 'BU', 'B', 'M']","['J', 'HC', 'RB', 'CS', 'FB', 'TA', 'WR', 'SF', 'JD']","['BB1509.DCE', 'PP1505.DCE', 'L1505.DCE', 'RS511.CZC', 'JM1505.DCE', 'FG506.CZC', 'BU1509.SHF', 'B1505.DCE', 'M1601.DCE']","['J1505.DCE', 'HC1505.SHF', 'RB1505.SHF', 'CS1505.DCE', 'FB1509.DCE', 'TA505.CZC', 'WR1505.SHF', 'SF509.CZC', 'JD1505.DCE']"
4月14日,"['BB', 'PP', 'RU', 'JM', 'BU', 'L', 'SN', 'B', 'FG']","['HC', 'RB', 'J', 'WR', 'CS', 'FB', 'TA', 'FU', 'JD']","['BB1509.DCE', 'PP1505.DCE', 'RU1601.SHF', 'JM1505.DCE', 'BU1509.SHF', 'L1505.DCE', 'SN1508.SHF', 'B1505.DCE', 'FG506.CZC']","['HC1505.SHF', 'RB1505.SHF', 'J1505.DCE', 'WR1511.SHF', 'CS1505.DCE', 'FB1509.DCE', 'TA505.CZC', 'FU1509.SHF', 'JD1505.DCE']"
4月15日,"['BB', 'PP', 'RU', 'JM', 'BU', 'B', 'L', 'FG', 'A']","['J', 'RB', 'CS', 'NI', 'WR', 'HC', 'TA', 'JD', 'CF']","['BB1509.DCE', 'PP1505.DCE', 'RU1601.SHF', 'JM1505.DCE', 'BU1509.SHF', 'B1505.DCE', 'L1505.DCE', 'FG506.CZC', 'A1505.DCE']","['J1505.DCE', 'RB1505.SHF', 'CS1505.DCE', 'NI1509.SHF', 'WR1511.SHF', 'HC1505.SHF', 'TA505.CZC', 'JD1505.DCE', 'EF1504-S.CFE']"
4月16日,"['BB', 'RU', 'PP', 'JM', 'B', 'FG', 'L', 'A', 'M']","['J', 'FB', 'HC', 'NI', 'CS', 'RS', 'TA', 'WR', 'JD']","['BB1509.DCE', 'RU1601.SHF', 'PP1505.DCE', 'JM1505.DCE', 'B1505.DCE', 'FG506.CZC', 'L1505.DCE', 'A1505.DCE', 'M1601.DCE']","['J1505.DCE', 'FB1509.DCE', 'HC1505.SHF', 'NI1509.SHF', 'CS1505.DCE', 'RS509.CZC', 'TA505.CZC', 'WR1505.SHF', 'JD1505.DCE']"
4月17日,"['WR', 'BB', 'PP', 'JM', 'RU', 'B', 'FG', 'L', 'M']","['TC', 'HC', 'MA', 'J', 'CS', 'FB', 'TA', 'NI', 'JD']","['WR1511.SHF', 'BB1509.DCE', 'PP1505.DCE', 'JM1505.DCE', 'RU1601.SHF', 'B1505.DCE', 'FG506.CZC', 'L1505.DCE', 'M1601.DCE']","['TC505.CZC', 'HC1505.SHF', 'MA506.CZC', 'J1505.DCE', 'CS1505.DCE', 'FB1509.DCE', 'TA505.CZC', 'NI1509.SHF', 'JD1505.DCE']"
4月20日,"['BB', 'JM', 'BU', 'RU', 'PP', 'FU', 'FG', 'B', 'L']","['P', 'CU', 'WR', 'HC', 'CS', 'A', 'TA', 'NI', 'JD']","['BB1509.DCE', 'JM1505.DCE', 'BU1509.SHF', 'RU1601.SHF', 'PP1505.DCE', 'FU1509.SHF', 'FG506.CZC', 'B1505.DCE', 'L1505.DCE']","['P1601.DCE', 'CU1507.SHF', 'WR1511.SHF', 'HC1505.SHF', 'CS1505.DCE', 'A1505.DCE', 'TA505.CZC', 'NI1509.SHF', 'JD1601.DCE']"
4月21日,"['WR', 'BB', 'BU', 'JM', 'PP', 'RU', 'B', 'FG', 'L']","['EF', 'J', 'CU', 'HC', 'TA', 'NI', 'A', 'CS', 'JD']","['WR1511.SHF', 'BB1509.DCE', 'BU1509.SHF', 'JM1505.DCE', 'PP1505.DCE', 'RU1601.SHF', 'B1505.DCE', 'FG506.CZC', 'L1505.DCE']","['EF1509-S.CFE', 'J1505.DCE', 'CU1507.SHF', 'HC1505.SHF', 'TA505.CZC', 'NI1509.SHF', 'A1505.DCE', 'CS1601.DCE', 'JD1601.DCE']"
4月22日,"['WR', 'BB', 'BU', 'JM', 'RU', 'B', 'FG', 'L', 'M']","['FB', 'HC', 'J', 'TA', 'NI', 'A', 'PP', 'CS', 'JD']","['WR1511.SHF', 'BB1509.DCE', 'BU1509.SHF', 'JM1505.DCE', 'RU1601.SHF', 'B1505.DCE', 'FG506.CZC', 'L1505.DCE', 'M1601.DCE']","['FB1509.DCE', 'HC1505.SHF', 'J1505.DCE', 'TA505.CZC', 'NI1509.SHF', 'A1505.DCE', 'PP1601.DCE', 'CS1601.DCE', 'JD1601.DCE']"
4月23日,"['WR', 'BB', 'JM', 'BU', 'RU', 'B', 'FG', 'L', 'M']","['CU', 'J', 'HC', 'NI', 'TA', 'FB', 'PP', 'CS', 'JD']","['WR1511.SHF', 'BB1509.DCE', 'JM1505.DCE', 'BU1509.SHF', 'RU1601.SHF', 'B1505.DCE', 'FG506.CZC', 'L1505.DCE', 'M1601.DCE']","['CU1507.SHF', 'J1505.DCE', 'HC1505.SHF', 'NI1509.SHF', 'TA505.CZC', 'FB1509.DCE', 'PP1601.DCE', 'CS1601.DCE', 'JD1601.DCE']"
4月24日,"['WR', 'BB', 'BU', 'RU', 'B', 'JM', 'A', 'M', 'RB']","['HC', 'TC', 'TA', 'J', 'NI', 'PP', 'L', 'JD', 'CS']","['WR1511.SHF', 'BB1509.DCE', 'BU1509.SHF', 'RU1601.SHF', 'B1505.DCE', 'JM1505.DCE', 'A1601.DCE', 'M1601.DCE', 'RB1601.SHF']","['HC1505.SHF', 'TC505.CZC', 'TA505.CZC', 'J1505.DCE', 'NI1509.SHF', 'PP1601.DCE', 'L1601.DCE', 'JD1601.DCE', 'CS1601.DCE']"
4月27日,"['BB', 'BU', 'RU', 'B', 'JM', 'RB', 'SF', 'A', 'WH']","['WR', 'TA', 'PP', 'J', 'TC', 'L', 'SN', 'JD', 'CS']","['BB1509.DCE', 'BU1509.SHF', 'RU1601.SHF', 'B1505.DCE', 'JM1505.DCE', 'RB1601.SHF', 'SF509.CZC', 'A1601.DCE', 'WH509.CZC']","['WR1511.SHF', 'TA505.CZC', 'PP1601.DCE', 'J1505.DCE', 'TC505.CZC', 'L1601.DCE', 'SN1508.SHF', 'JD1601.DCE', 'CS1601.DCE']"
4月28日,"['BB', 'BU', 'B', 'RU', 'JM', 'FB', 'SN', 'A', 'RB']","['NI', 'TA', 'PP', 'J', 'L', 'TC', 'CS', 'JD', 'WR']","['BB1509.DCE', 'BU1509.SHF', 'B1505.DCE', 'RU1601.SHF', 'JM1505.DCE', 'FB1509.DCE', 'SN1508.SHF', 'A1601.DCE', 'RB1601.SHF']","['NI1509.SHF', 'TA505.CZC', 'PP1601.DCE', 'J1505.DCE', 'L1601.DCE', 'TC505.CZC', 'CS1601.DCE', 'JD1601.DCE', 'WR1511.SHF']"
4月29日,"['WR', 'BB', 'BU', 'B', 'JM', 'RU', 'SN', 'LR', 'FB']","['HC', 'NI', 'FU', 'TA', 'PP', 'TC', 'L', 'CS', 'JD']","['WR1511.SHF', 'BB1509.DCE', 'BU1509.SHF', 'B1505.DCE', 'JM1505.DCE', 'RU1601.SHF', 'SN1508.SHF', 'LR509.CZC', 'FB1509.DCE']","['HC1505.SHF', 'NI1509.SHF', 'FU1509.SHF', 'TA505.CZC', 'PP1601.DCE', 'TC505.CZC', 'L1601.DCE', 'CS1601.DCE', 'JD1601.DCE']"
4月30日,"['BU', 'JM', 'B', 'RU', 'WR', 'J', 'FU', 'A', 'RB']","['HC', 'NI', 'TA', 'PP', 'L', 'JD', 'CS', 'TC', 'BB']","['BU1509.SHF', 'JM1505.DCE', 'B1505.DCE', 'RU1601.SHF', 'WR1511.SHF', 'J1601.DCE', 'FU1509.SHF', 'A1601.DCE', 'RB1601.SHF']","['HC1505.SHF', 'NI1509.SHF', 'TA505.CZC', 'PP1601.DCE', 'L1601.DCE', 'JD1601.DCE', 'CS1601.DCE', 'TC505.CZC', 'BB1505.DCE']"
