DAY,ID,DATA,Maincontract,Submaincontract
1月6日,RM,0.05388070222054921,RM505.CZC,RM509.CZC
1月6日,ME,0.2547291092745638,ME505.CZC,ME501.CZC
1月6日,EF,0.012622332883770791,EF1509-S.CFE,EF1501-S.CFE
1月6日,BU,-0.134674941327333,BU1506.SHF,BU1509.SHF
1月6日,OI,-0.031929191153665694,OI505.CZC,OI509.CZC
1月7日,PP,0.12612517063591172,PP1505.DCE,PP1509.DCE
1月7日,AF,0.0,AF1509-S.CFE,AF1506-S.CFE
1月7日,JM,-0.03173775053258553,JM1505.DCE,JM1509.DCE
1月7日,AG,0.042213092220391595,AG1506.SHF,AG1501.SHF
1月7日,CU,0.10911888234264715,CU1503.SHF,CU1504.SHF
1月7日,SR,-0.07691627919623678,SR505.CZC,SR509.CZC
1月7日,B,199.98131793478262,B1505.DCE,FB1508.DCE
1月7日,J,-0.2966210436270316,J1505.DCE,J1501.DCE
1月7日,L,0.12356814059128783,L1505.DCE,L1509.DCE
1月7日,RI,0.13850941105039463,RI505.CZC,RI501.CZC
1月7日,P,-0.03385401674630436,P1505.DCE,P1509.DCE
1月7日,ZN,-0.04686296327997946,ZN1503.SHF,ZN1502.SHF
1月7日,RB,-0.021945152150549756,RB1505.SHF,RB1510.SHF
1月7日,PB,-0.005262702578003345,PB1503.SHF,PB1502.SHF
1月7日,TA,-0.08357340824354019,TA505.CZC,TA509.CZC
1月7日,JD,-0.20620922821606066,JD1505.DCE,JD1509.DCE
1月7日,V,0.06828332904613801,V1505.DCE,V1509.DCE
1月7日,I,0.06502445502542675,I1505.DCE,I1509.DCE
1月7日,M,0.01670643025923574,M1505.DCE,M1509.DCE
1月7日,FG,0.0505937254539574,FG506.CZC,FG509.CZC
1月7日,A,0.042764850075881974,A1505.DCE,A1509.DCE
1月7日,BB,0.1640449438202247,BB1502.DCE,BB1505.DCE
1月7日,FU,-0.3162146915420881,FU1503.SHF,FU1506.SHF
1月7日,CF,-0.0752381125600965,CF505.CZC,CF509.CZC
1月7日,WR,0.026240115025161756,WR1504.SHF,WR1511.SHF
1月7日,RU,0.09994995420337478,RU1505.SHF,RU1509.SHF
1月7日,FB,0.05069444444444444,FB1505.DCE,FB1501.DCE
1月7日,AU,0.025034293552812073,AU1506.SHF,AU1502.SHF
1月7日,C,0.01670643025923574,M1505.DCE,M1509.DCE
1月7日,HC,-0.0993611111111111,HC1505.SHF,HC1501.SHF
1月7日,AL,-0.06880128680397601,AL1503.SHF,AL1504.SHF
1月7日,WH,-0.11543327008222642,WH501.CZC,WH505.CZC
1月7日,CS,-0.16438861672390848,CS1505.DCE,CS1509.DCE
1月7日,MA,-0.1400701128443412,MA506.CZC,MA509.CZC
1月7日,TC,-0.22270391779062298,TC505.CZC,TC501.CZC
1月7日,IM,0.014510806906879052,IM_S1501.SHF,IM_S1503.SHF
1月7日,Y,-0.04112930942199235,Y1505.DCE,Y1509.DCE
1月7日,RM,0.05248603506443228,RM505.CZC,RM509.CZC
1月7日,ME,0.325954126715548,ME505.CZC,ME501.CZC
1月7日,EF,0.012729301806514612,EF1509-S.CFE,EF1501-S.CFE
1月7日,BU,-0.15896058648472092,BU1506.SHF,BU1509.SHF
1月7日,OI,-0.03204411952496488,OI505.CZC,OI509.CZC
1月7日,LR,0.012943262411347517,LR505.CZC,LR501.CZC
1月8日,PP,0.10650144353679622,PP1505.DCE,PP1509.DCE
1月8日,AF,-0.04959239130434783,AF1509-S.CFE,AF1506-S.CFE
